matrix,n2
0.30%Pb2P2O7-0.70%WO3,0.98
0.40%Pb2P2O7-0.60%WO3,0.90
0.70%Pb2P2O7-0.30%WO3,0.71
0.80%Pb2P2O7-0.20%WO3,0.70
0.50%Pb2P2O7-0.50%WO3,0.82
0.80%TeO2-0.05%Li2O-0.15%Nb2O5,3.50
0.80%TeO2-0.05%Li2O-0.15%TiO2,3.10
0.80%TeO2-0.10%Li2O-0.10%Bi2O3,3.00
0.80%TeO2-0.10%Li2O-0.10%Nb2O5,3.00
0.80%TeO2-0.10%Li2O-0.10%TiO2,2.90
0.80%TeO2-0.15%Li2O-0.05%Bi2O3,2.80
0.80%TeO2-0.15%Li2O-0.05%Nb2O5,2.90
0.80%TeO2-0.15%Li2O-0.05%TiO2,2.90
0.80%TeO2-0.20%Li2O,2.60
0.97%CaLiBO-0.01%Yb2O3-0.02%Tb4O7,0.47
0.989%CaLiBO-0.01%Yb2O3-0.001%Tb4O7,0.45
0.98%CaLiBO-0.01%Yb2O3-0.01%Tb4O7,0.46
0.557%SiO2-0.202%Al2O3-0.241%La2O3,0.93
0.601%SiO2-0.212%Al2O3-0.187%La2O3,0.81
0.656%SiO2-0.201%Al2O3-0.143%La2O3,0.67
0.674%SiO2-0.221%Al2O3-0.105%La2O3,0.58
0.75%NaPO3-0.20%MgF2-0.5%Nb2O5,0.654
0.70%NaPO3-0.20%MgF2-0.10%Nb2O5,0.88
0.65%NaPO3-0.20%MgF2-0.15%Nb2O5,1.245
0.60%NaPO3-0.20%MgF2-0.20%Nb2O5,1.59
0.75%NaPO3-0.20%CaF2-0.5%Nb2O5,0.681
0.70%NaPO3-0.20%CaF2-0.10%Nb2O5,0.863
0.60%NaPO3-0.20%CaF2-0.20%Nb2O5,1.583
0.65%NaPO3-0.20%CaF2-0.15%Nb2O5,1.22
0.70%NaPO3-0.20%SrF2-0.10%Nb2O5,0.867
0.75%NaPO3-0.20%SrF2-0.5%Nb2O5,0.624
0.65%NaPO3-0.20%SrF2-0.15%Nb2O5,1.238
0.60%NaPO3-0.20%SrF2-0.20%Nb2O5,1.518
0.70%NaPO3-0.20%BaF2-0.10%Nb2O5,0.899
0.60%NaPO3-0.20%BaF2-0.20%Nb2O5,1.628
0.65%NaPO3-0.20%BaF2-0.15%Nb2O5,1.234
0.70%Sb2O3-0.30%SbPO4,3.20
0.50%Sb2O3-0.50%SbPO4,2.50
0.60%Sb2O3-0.40%SbPO4,1.70
0.40%Sb2O3-0.60%SbPO4,1.80
0.95%TeO2-0.05%NbPO4,4.50
0.90%TeO2-0.10%NbPO4,3.26
0.85%TeO2-0.15%NbPO4,2.24
0.40%NaPO3-0.40%KPO3-0.20%Ta2O5,1.25
0.35%NaPO3-0.35%KPO3-0.30%Ta2O5,1.52
0.30%NaPO3-0.30%KPO3-0.40%Ta2O5,2.20
0.25%NaPO3-0.25%KPO3-0.50%Ta2O5,2.75
